"NombreMunicipio","CodigoMunicipio","Ubicación","NombreRegion","CodigoRegion","Anio","CausaMortalidad","TipoPoblacionObjetivo","NumeroPoblacionObjetivo","NumeroCasos"
"Vigía del Fuerte","05873","POINT (-76.896085 6.589081)","URABA","9","2022","Suicidios","Poblacion total","10,528","0"
"Yalí","05885","POINT (-74.842107 6.675328)","NORDESTE","4","2022","Suicidios","Poblacion total","7,734","0"
"Yarumal","05887","POINT (-75.416733 6.963321)","NORTE","5","2022","Suicidios","Poblacion total","41,931","4"
"Yolombó","05890","POINT (-75.01183 6.59926)","NORDESTE","4","2022","Suicidios","Poblacion total","24,197","1"
"Yondó","05893","POINT (-73.909599 7.007398)","MAGDALENA MEDIO","3","2022","Suicidios","Poblacion total","20,861","1"
"Zaragoza","05895","POINT (-74.868261 7.492548)","BAJO CAUCA","2","2022","Suicidios","Poblacion total","26,010","1"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2023","Suicidios","Poblacion total","21,030","1"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2023","Suicidios","Poblacion total","2,782","0"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2023","Suicidios","Poblacion total","5,130","1"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2023","Suicidios","Poblacion total","32,238","5"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2023","Suicidios","Poblacion total","28,334","6"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2023","Suicidios","Poblacion total","44,976","6"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2023","Suicidios","Poblacion total","6,096","0"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2023","Suicidios","Poblacion total","12,256","0"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2023","Suicidios","Poblacion total","20,320","0"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2023","Suicidios","Poblacion total","7,543","1"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2023","Suicidios","Poblacion total","124,339","12"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2023","Suicidios","Poblacion total","31,150","1"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2023","Suicidios","Poblacion total","8,099","1"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2023","Suicidios","Poblacion total","5,286","0"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","61,506","6"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","584,062","44"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2023","Suicidios","Poblacion total","6,149","0"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2023","Suicidios","Poblacion total","10,686","0"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2023","Suicidios","Poblacion total","16,667","1"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2023","Suicidios","Poblacion total","8,041","0"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2023","Suicidios","Poblacion total","10,605","0"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","29,240","0"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2023","Suicidios","Poblacion total","8,920","1"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","87,460","12"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2023","Suicidios","Poblacion total","9,811","0"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2023","Suicidios","Poblacion total","15,570","2"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","4,541","0"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2023","Suicidios","Poblacion total","4,590","0"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2023","Suicidios","Poblacion total","50,303","2"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2023","Suicidios","Poblacion total","3,976","0"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","93,262","3"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2023","Suicidios","Poblacion total","57,067","8"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2023","Suicidios","Poblacion total","10,033","1"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2023","Suicidios","Poblacion total","27,252","1"
"Cocorná","05197","POINT (-75.185273 6.057769)","ORIENTE","7","2023","Suicidios","Poblacion total","15,981","2"
"Concepción","05206","POINT (-75.259425 6.394975)","ORIENTE","7","2023","Suicidios","Poblacion total","5,052","1"
"Concordia","05209","POINT (-75.907256 6.046154)","SUROESTE","8","2023","Suicidios","Poblacion total","22,061","1"
"Copacabana","05212","POINT (-75.508181 6.346097)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","88,121","9"
"Dabeiba","05234","POINT (-76.266682 7.001567)","OCCIDENTE","6","2023","Suicidios","Poblacion total","24,409","4"
"Donmatías","05237","POINT (-75.394608 6.486305)","NORTE","5","2023","Suicidios","Poblacion total","19,621","3"
"Ebéjico","05240","POINT (-75.768514 6.326468)","OCCIDENTE","6","2023","Suicidios","Poblacion total","12,553","0"
"El Bagre","05250","POINT (-74.812977 7.60005)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","55,234","0"
"El Carmen de Viboral","05148","POINT (-75.335351 6.083283)","ORIENTE","7","2023","Suicidios","Poblacion total","67,061","8"
"El Peñol","05541","POINT (-75.161743 6.234274)","ORIENTE","7","2023","Suicidios","Poblacion total","23,147","3"
"El Retiro","05607","POINT (-75.502683 6.057336)","ORIENTE","7","2023","Suicidios","Poblacion total","26,306","2"
"El Santuario","05697","POINT (-75.265676 6.139528)","ORIENTE","7","2023","Suicidios","Poblacion total","38,877","1"
"Entrerríos","05264","POINT (-75.517037 6.567385)","NORTE","5","2023","Suicidios","Poblacion total","12,348","0"
"Envigado","05266","POINT (-75.587333 6.16996)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","256,042","18"
"Fredonia","05282","POINT (-75.671749 5.927145)","SUROESTE","8","2023","Suicidios","Poblacion total","25,957","0"
"Frontino","05284","POINT (-76.128568 6.77975)","OCCIDENTE","6","2023","Suicidios","Poblacion total","21,588","3"
"Giraldo","05306","POINT (-75.953365 6.680421)","OCCIDENTE","6","2023","Suicidios","Poblacion total","6,189","0"
"Girardota","05308","POINT (-75.446101 6.377536)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","59,708","6"
"Gómez Plata","05310","POINT (-75.219375 6.681523)","NORTE","5","2023","Suicidios","Poblacion total","10,215","0"
"Granada","05313","POINT (-75.18443 6.14432)","ORIENTE","7","2023","Suicidios","Poblacion total","10,442","1"
"Guadalupe","05315","POINT (-75.240458 6.814987)","NORTE","5","2023","Suicidios","Poblacion total","6,914","0"
"Guarne","05318","POINT (-75.442619 6.279958)","ORIENTE","7","2023","Suicidios","Poblacion total","62,651","4"
"Guatapé","05321","POINT (-75.161723 6.234276)","ORIENTE","7","2023","Suicidios","Poblacion total","9,368","0"
"Heliconia","05347","POINT (-75.733349 6.207128)","OCCIDENTE","6","2023","Suicidios","Poblacion total","5,175","1"
"Hispania","05353","POINT (-75.907416 5.799621)","SUROESTE","8","2023","Suicidios","Poblacion total","5,818","0"
"Itagüí","05360","POINT (-75.609585 6.172619)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","299,320","25"
"Ituango","05361","POINT (-75.764081 7.172568)","NORTE","5","2023","Suicidios","Poblacion total","28,961","2"
"Jardín","05364","POINT (-75.819483 5.599097)","SUROESTE","8","2023","Suicidios","Poblacion total","15,227","0"
"Jericó","05368","POINT (-75.786118 5.791557)","SUROESTE","8","2023","Suicidios","Poblacion total","14,215","1"
"La Ceja","05376","POINT (-75.431681 6.030682)","ORIENTE","7","2023","Suicidios","Poblacion total","71,255","6"
"La Estrella","05380","POINT (-75.643382 6.157644)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","80,676","10"
"La Pintada","05390","POINT (-75.606525 5.747143)","SUROESTE","8","2023","Suicidios","Poblacion total","8,520","0"
"La Unión","05400","POINT (-75.361241 5.973832)","ORIENTE","7","2023","Suicidios","Poblacion total","23,399","1"
"Liborina","05411","POINT (-75.811313 6.67786)","OCCIDENTE","6","2023","Suicidios","Poblacion total","10,675","1"
"Maceo","05425","POINT (-74.673429 6.530691)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","8,725","0"
"Marinilla","05440","POINT (-75.334772 6.173718)","ORIENTE","7","2023","Suicidios","Poblacion total","71,999","4"
"Medellín","05001","POINT (-75.564739 6.253104)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","2,518,480","246"
"Montebello","05467","POINT (-75.524621 5.945694)","SUROESTE","8","2023","Suicidios","Poblacion total","6,608","0"
"Murindó","05475","POINT (-76.82131 6.981328)","URABA","9","2023","Suicidios","Poblacion total","5,636","0"
"Mutatá","05480","POINT (-76.436928 7.245319)","URABA","9","2023","Suicidios","Poblacion total","13,895","3"
"Nariño","05483","POINT (-75.176323 5.609727)","ORIENTE","7","2023","Suicidios","Poblacion total","10,787","1"
"Nechí","05495","POINT (-74.775013 8.095003)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","28,513","0"
"Necoclí","05490","POINT (-76.786829 8.424299)","URABA","9","2023","Suicidios","Poblacion total","42,628","1"
"Olaya","05501","POINT (-75.81238 6.628142)","OCCIDENTE","6","2023","Suicidios","Poblacion total","3,367","0"
"Peque","05543","POINT (-75.908927 7.021696)","OCCIDENTE","6","2023","Suicidios","Poblacion total","8,617","3"
"Pueblorrico","05576","POINT (-75.841914 5.790844)","SUROESTE","8","2023","Suicidios","Poblacion total","8,983","0"
"Puerto Berrío","05579","POINT (-74.402022 6.490753)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","39,383","1"
"Puerto Nare","05585","POINT (-74.581675 6.187952)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","15,293","0"
"Puerto Triunfo","05591","POINT (-74.640079 5.87335)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","19,661","0"
"Remedios","05604","POINT (-74.69368 7.02808)","NORDESTE","4","2023","Suicidios","Poblacion total","31,804","4"
"Rionegro","05615","POINT (-75.373872 6.153548)","ORIENTE","7","2023","Suicidios","Poblacion total","149,627","18"
"Sabanalarga","05628","POINT (-75.818245 6.850482)","OCCIDENTE","6","2023","Suicidios","Poblacion total","9,692","1"
"Sabaneta","05631","POINT (-75.615491 6.15156)","VALLE DE ABURRA","1","2023","Suicidios","Poblacion total","100,767","14"
"Salgar","05642","POINT (-75.979184 5.963438)","SUROESTE","8","2023","Suicidios","Poblacion total","18,844","1"
"San Andrés de Cuerquia","05647","POINT (-75.67649 6.914739)","NORTE","5","2023","Suicidios","Poblacion total","7,389","0"
"San Carlos","05649","POINT (-74.992086 6.188726)","ORIENTE","7","2023","Suicidios","Poblacion total","16,827","0"
"San Francisco","05652","POINT (-75.102069 5.964854)","ORIENTE","7","2023","Suicidios","Poblacion total","5,960","0"
"San Jerónimo","05656","POINT (-75.72792 6.442677)","OCCIDENTE","6","2023","Suicidios","Poblacion total","17,549","1"
"San José de La Montaña","05658","POINT (-75.683472 6.848958)","NORTE","5","2023","Suicidios","Poblacion total","3,924","0"
"San Juan de Urabá","05659","POINT (-76.524538 8.766496)","URABA","9","2023","Suicidios","Poblacion total","20,094","4"
"San Luis","05660","POINT (-74.994436 6.042772)","ORIENTE","7","2023","Suicidios","Poblacion total","14,066","1"
"San Pedro de Los Milagros","05664","POINT (-75.555959 6.461815)","NORTE","5","2023","Suicidios","Poblacion total","22,311","1"
"San Pedro de Urabá","05665","POINT (-76.382921 8.277916)","URABA","9","2023","Suicidios","Poblacion total","32,182","0"
"San Rafael","05667","POINT (-75.028257 6.295426)","ORIENTE","7","2023","Suicidios","Poblacion total","16,982","2"
"San Roque","05670","POINT (-75.019485 6.485044)","NORDESTE","4","2023","Suicidios","Poblacion total","23,768","1"
"San Vicente","05674","POINT (-75.331782 6.282678)","ORIENTE","7","2023","Suicidios","Poblacion total","24,116","5"
"Santa Bárbara","05679","POINT (-75.568167 5.874215)","SUROESTE","8","2023","Suicidios","Poblacion total","28,829","0"
"Santa Fe de Antioquia","05042","POINT (-75.827742 6.556455)","OCCIDENTE","6","2023","Suicidios","Poblacion total","27,882","0"
"Santa Rosa de Osos","05686","POINT (-75.460696 6.648965)","NORTE","5","2023","Suicidios","Poblacion total","39,288","2"
"Santo Domingo","05690","POINT (-75.164398 6.471292)","NORDESTE","4","2023","Suicidios","Poblacion total","13,254","3"
"Segovia","05736","POINT (-75.164407 6.471289)","NORDESTE","4","2023","Suicidios","Poblacion total","39,062","4"
"Sonsón","05756","POINT (-75.31098 5.709254)","ORIENTE","7","2023","Suicidios","Poblacion total","36,248","5"
"Sopetrán","05761","POINT (-75.742487 6.500955)","OCCIDENTE","6","2023","Suicidios","Poblacion total","16,164","2"
"Támesis","05789","POINT (-75.712508 5.662788)","SUROESTE","8","2023","Suicidios","Poblacion total","16,637","0"
"Tarazá","05790","POINT (-75.39983 7.58049)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","28,729","2"
"Tarso","05792","POINT (-75.82213 5.865469)","SUROESTE","8","2023","Suicidios","Poblacion total","6,470","0"
"Titiribí","05809","POINT (-75.793717 6.063419)","SUROESTE","8","2023","Suicidios","Poblacion total","11,348","2"
"Toledo","05819","POINT (-75.691555 7.01096)","NORTE","5","2023","Suicidios","Poblacion total","4,905","2"
"Turbo","05837","POINT (-76.728476 8.095151)","URABA","9","2023","Suicidios","Poblacion total","129,280","3"
"Uramita","05842","POINT (-76.266639 7.001396)","OCCIDENTE","6","2023","Suicidios","Poblacion total","7,345","1"
"Urrao","05847","POINT (-76.134557 6.317018)","SUROESTE","8","2023","Suicidios","Poblacion total","31,559","5"
"Valdivia","05854","POINT (-75.391627 7.292119)","NORTE","5","2023","Suicidios","Poblacion total","14,720","0"
"Valparaíso","05856","POINT (-75.62448 5.616356)","SUROESTE","8","2023","Suicidios","Poblacion total","6,667","0"
"Vegachí","05858","POINT (-74.798745 6.77151)","NORDESTE","4","2023","Suicidios","Poblacion total","12,114","0"
"Venecia","05861","POINT (-75.733897 5.963555)","SUROESTE","8","2023","Suicidios","Poblacion total","12,222","0"
"Vigía del Fuerte","05873","POINT (-76.896085 6.589081)","URABA","9","2023","Suicidios","Poblacion total","10,815","0"
"Yalí","05885","POINT (-74.842107 6.675328)","NORDESTE","4","2023","Suicidios","Poblacion total","7,729","0"
"Yarumal","05887","POINT (-75.416733 6.963321)","NORTE","5","2023","Suicidios","Poblacion total","41,983","6"
"Yolombó","05890","POINT (-75.01183 6.59926)","NORDESTE","4","2023","Suicidios","Poblacion total","24,454","4"
"Yondó","05893","POINT (-73.909599 7.007398)","MAGDALENA MEDIO","3","2023","Suicidios","Poblacion total","21,255","1"
"Zaragoza","05895","POINT (-74.868261 7.492548)","BAJO CAUCA","2","2023","Suicidios","Poblacion total","26,283","2"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2024","Suicidios","Poblacion total","21,121","4"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2024","Suicidios","Poblacion total","2,810","0"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2024","Suicidios","Poblacion total","5,196","0"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2024","Suicidios","Poblacion total","32,595","0"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2024","Suicidios","Poblacion total","28,716","3"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2024","Suicidios","Poblacion total","45,212","4"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2024","Suicidios","Poblacion total","6,149","2"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2024","Suicidios","Poblacion total","12,413","0"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2024","Suicidios","Poblacion total","20,688","1"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2024","Suicidios","Poblacion total","7,628","1"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2024","Suicidios","Poblacion total","124,423","10"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2024","Suicidios","Poblacion total","31,449","3"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2024","Suicidios","Poblacion total","8,170","2"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2024","Suicidios","Poblacion total","5,308","0"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2024","Suicidios","Poblacion total","62,506","2"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2024","Suicidios","Poblacion total","593,344","40"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2024","Suicidios","Poblacion total","6,193","1"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2024","Suicidios","Poblacion total","10,758","1"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2024","Suicidios","Poblacion total","16,861","0"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2024","Suicidios","Poblacion total","8,023","0"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2024","Suicidios","Poblacion total","10,848","0"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2024","Suicidios","Poblacion total","29,159","0"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2024","Suicidios","Poblacion total","9,036","1"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2024","Suicidios","Poblacion total","88,316","4"
